onset_q	dur_q	pitch	midi_no	vel
3.5000	0.5000	E2	40	64
3.5000	0.5000	B2	47	64
3.5000	0.3333	E3	52	54
3.5000	0.3333	B3	59	54
4.3333	0.3333	E2	40	60
4.3333	0.3333	E3	52	60
4.3333	0.3333	B3	59	60
4.3333	0.6667	B2	47	51
4.7500	0.5000	E2	40	68
4.7500	0.5000	E3	52	68
5.2500	1.0000	E2	40	81
5.2500	0.6667	B2	47	51
5.2500	0.6667	E3	52	51
5.2500	0.6667	B3	59	51
5.6667	0.3333	B2	47	54
6.0000	0.5000	B2	47	63
6.0000	0.5000	E2	40	63
6.0000	0.5000	E3	52	63
6.5000	0.5000	E3	52	64
6.5000	0.5000	E2	40	64
7.0000	0.6667	E2	40	74
7.0000	0.6667	E3	52	74
7.0000	0.6667	B2	47	58
7.0000	0.6667	E3	52	58
7.5000	0.5000	E2	40	84
8.0000	0.7500	E2	40	87
8.0000	0.3333	E3	52	60
8.3333	0.5000	E3	52	46
8.7500	0.5000	E2	40	64
8.7500	0.5000	E3	52	64
8.7500	0.5000	B3	59	64
9.2500	0.5000	E2	40	71
9.2500	0.5000	E3	52	71
9.6667	0.5000	E3	52	59
9.6667	0.5000	E2	40	59
9.6667	0.5000	B3	59	59
10.6667	0.5000	G2	43	102
10.6667	1.0000	G3	55	58
11.0000	0.5000	G2	43	99
11.5000	0.5000	G2	43	80
11.5000	0.5000	G3	55	80
12.0000	0.5000	G2	43	66
12.0000	0.5000	G3	55	66
12.5000	0.5000	G2	43	78
12.5000	0.5000	G3	55	78
12.7500	0.5000	G2	43	72
12.7500	0.5000	G3	55	72
13.3333	0.5000	G2	43	73
13.3333	0.5000	G3	55	73
13.7500	0.5000	G3	55	68
13.7500	0.5000	G2	43	68
14.2500	0.5000	G2	43	80
14.2500	0.5000	G3	55	80
14.6667	0.5000	G2	43	74
14.6667	0.5000	G3	55	74
15.0000	0.3333	G2	43	81
15.0000	0.3333	G3	55	81
15.6667	0.3333	G2	43	76
15.6667	0.3333	G3	55	76
16.0000	0.5000	G2	43	82
16.0000	0.5000	G3	55	82
16.0000	0.1667	G2	43	76
16.0000	0.1667	G3	55	76
16.5000	0.5000	G2	43	69
16.5000	0.5000	G3	55	69
17.0000	0.5000	G2	43	73
17.0000	0.5000	G3	55	73
17.3333	0.3333	G2	43	67
17.3333	0.3333	G3	55	67
17.7500	0.7500	A2	45	64
17.7500	0.7500	A3	57	64
17.7500	0.5000	D3	50	98
18.2500	0.5000	D3	50	92
18.7500	0.5000	D3	50	100
19.2500	0.5000	D3	50	97
19.6667	0.3333	D3	50	97
20.0000	0.5000	D3	50	93
20.0000	0.1667	D3	50	97
20.5000	0.5000	D3	50	99
21.0000	0.5000	D3	50	97
21.3333	0.5000	D3	50	104
21.7500	0.5000	D3	50	101
22.2500	0.5000	D3	50	106
22.7500	0.5000	D3	50	96
23.2500	0.5000	D3	50	104
23.6667	0.3333	D3	50	101
24.0000	0.2500	D3	50	105
24.0000	0.1667	D3	50	101
24.5000	0.5000	D3	50	69
24.5000	0.7500	D4	62	55
25.0000	0.5000	A2	45	81
25.3333	0.5000	D3	50	68
25.3333	0.5000	A2	45	68
25.7500	0.5000	A3	57	64
25.7500	0.5000	A2	45	64
26.3333	0.6667	A2	45	59
26.3333	0.6667	A3	57	59
26.7500	0.5000	A2	45	84
27.3333	0.5000	A2	45	81
27.7500	0.2500	A3	57	74
27.7500	0.2500	A2	45	74
28.0000	0.2500	A3	57	74
28.0000	0.2500	A2	45	74
28.2500	0.5000	A2	45	86
28.2500	0.7500	A3	57	46
28.6667	0.5000	A2	45	99
29.0000	0.7500	A2	45	62
29.0000	0.7500	A3	57	62
29.5000	0.5000	A2	45	96
30.0000	0.5000	A2	45	90
30.5000	0.5000	A2	45	89
31.0000	0.5000	A2	45	79
31.3333	0.5000	A2	45	96
31.7500	0.2500	A2	45	61
31.7500	0.2500	E2	40	61
32.2500	1.0000	E2	40	69
32.2500	1.0000	B3	59	69
32.2500	0.6667	E3	52	46
32.5000	0.5000	A2	45	57
33.2500	0.5000	E2	40	60
33.2500	0.5000	E3	52	60
33.2500	0.5000	B3	59	60
33.6667	0.6667	E2	40	56
33.6667	0.6667	E3	52	56
33.6667	0.6667	B3	59	56
34.0000	0.6667	E2	40	72
34.0000	0.6667	E3	52	72
34.5000	0.6667	B3	59	43
35.0000	0.7500	E2	40	66
35.0000	0.7500	E3	52	66
35.7500	0.2500	E2	40	80
35.7500	0.2500	E3	52	57
36.0000	0.7500	E2	40	80
36.0000	0.2500	E3	52	57
36.7500	0.5000	E3	52	58
36.7500	0.5000	B3	59	58
36.7500	0.5000	E2	40	58
37.2500	0.5000	E2	40	94
37.2500	0.7500	E3	52	47
37.6667	0.5000	E2	40	83
38.2500	0.5000	E2	40	64
38.2500	0.5000	E3	52	64
38.5000	0.6667	E2	40	64
38.5000	0.2500	E3	52	58
39.0000	0.2500	B3	59	50
39.5000	0.5000	G2	43	78
39.5000	0.5000	G3	55	78
40.0000	0.5000	G2	43	78
40.0000	0.5000	G3	55	78
40.3333	0.5000	G3	55	79
40.3333	0.5000	G2	43	79
40.7500	0.5000	G2	43	74
40.7500	0.5000	G3	55	74
41.3333	0.5000	G2	43	83
41.3333	0.5000	G3	55	83
41.7500	0.5000	G2	43	74
41.7500	0.5000	G3	55	74
42.2500	0.5000	G3	55	80
42.2500	0.5000	G2	43	80
42.6667	0.5000	G3	55	76
42.6667	0.5000	G2	43	76
43.0000	0.5000	G2	43	86
43.0000	0.5000	G3	55	86
43.5000	0.5000	G2	43	72
43.5000	0.5000	G3	55	72
44.0000	0.5000	G2	43	80
44.0000	0.5000	G3	55	80
44.5000	0.5000	G2	43	68
44.5000	0.5000	G3	55	68
45.0000	0.5000	G2	43	78
45.0000	0.5000	G3	55	78
45.3333	0.5000	G2	43	78
45.3333	0.5000	G3	55	78
45.7500	0.3333	G2	43	68
45.7500	0.3333	G3	55	68
46.6667	0.5000	D3	50	106
47.2500	0.5000	D3	50	101
47.6667	0.3333	D3	50	100
48.0000	0.5000	D3	50	99
48.0000	0.1667	D3	50	100
48.5000	0.5000	D3	50	101
49.0000	0.5000	D3	50	96
49.5000	0.5000	D3	50	97
49.7500	0.5000	D3	50	94
50.3333	0.5000	D3	50	104
50.7500	0.5000	D3	50	98
51.2500	0.5000	D3	50	98
51.6667	0.3333	D3	50	85
52.0000	0.5000	D3	50	99
52.0000	0.1667	D3	50	85
52.5000	0.5000	D3	50	102
53.0000	0.3333	D3	50	102
53.3333	1.0000	D3	50	67
53.3333	0.3333	D4	62	38
53.7500	0.5000	A2	45	88
