onset_q	dur_q	pitch	midi_no	vel
0.7500	0.2500	B-2	46	47
1.2500	0.3333	B-2	46	78
1.6667	0.6667	B2	47	71
2.2500	1.0000	B2	47	70
3.2500	0.5000	B2	47	89
3.5000	0.2500	B-2	46	56
4.0000	2.5000	B2	47	56
8.5000	0.5000	B-2	46	86
9.0000	0.7500	B-2	46	79
9.7500	0.5000	B-2	46	52
10.2500	0.2500	A2	45	72
10.5000	1.0000	B-2	46	69
16.0000	1.0000	B2	47	56
17.0000	0.5000	B-2	46	38
17.5000	0.3333	B-2	46	92
17.7500	1.2500	B-2	46	69
22.5000	0.2500	B-2	46	64
22.7500	0.5000	B2	47	69
23.3333	0.2500	B2	47	68
23.5000	0.3333	B-2	46	60
24.3333	0.7500	G2	43	76
26.2500	0.2500	G2	43	48
30.0000	0.3333	A2	45	82
30.3333	0.3333	B-2	46	66
30.7500	0.2500	A2	45	50
31.0000	0.3333	B-2	46	78
31.3333	0.6667	B-2	46	76
32.0000	0.5000	B2	47	66
32.5000	0.5000	B-2	46	73
33.0000	0.7500	B-2	46	72
34.2500	0.2500	B-2	46	50
37.7500	0.3333	B2	47	70
38.0000	0.3333	A2	45	77
38.3333	0.5000	A3	57	38
39.2500	0.3333	B-2	46	83
39.5000	0.5000	B-2	46	62
40.0000	0.7500	B-2	46	62
44.7500	0.7500	B2	47	78
45.3333	0.5000	F#4	66	47
45.5000	0.3333	B2	47	70
45.7500	0.5000	B2	47	76
46.2500	0.3333	B2	47	74
46.6667	0.3333	B2	47	49
47.5000	0.2500	A2	45	68
47.7500	0.2500	B-2	46	69
48.0000	0.0833	B-2	46	69
51.6667	0.3333	B-2	46	74
52.0000	0.3333	B-2	46	74
52.2500	0.3333	B2	47	65
52.6667	0.3333	A2	45	62
53.0000	0.7500	G2	43	73
53.6667	1.0000	G2	43	49
59.0000	0.3333	B-3	58	60
59.3333	0.3333	B3	59	64
60.0000	0.7500	B3	59	45
60.7500	0.5000	B3	59	67
61.0000	0.3333	E-3	51	45
61.2500	1.2500	B3	59	56
61.2500	1.2500	E-3	51	56
62.5000	1.0000	B3	59	62
62.5000	1.0000	E-3	51	62
63.5000	0.5000	E3	52	48
64.0000	0.6667	B3	59	53
66.6667	0.6667	B-3	58	57
67.5000	0.2500	G3	55	81
67.7500	0.2500	G3	55	103
68.0000	0.7500	G3	55	81
68.0000	0.0833	G3	55	103
69.0000	2.7500	A3	57	62
73.7500	0.5000	B3	59	66
74.2500	0.5000	B3	59	84
74.7500	1.0000	B3	59	85
75.5000	0.5000	A3	57	87
76.0000	1.0000	A3	57	71
76.3333	0.5000	B3	59	46
78.0000	1.0000	A3	57	57
80.6667	0.6667	B3	59	52
81.2500	0.5000	B-3	58	45
82.0000	1.3333	G3	55	67
82.0000	0.2500	G5	79	41
83.2500	0.7500	G3	55	51
84.0000	0.5000	G3	55	51
88.5000	0.2500	B-3	58	66
90.0000	0.5000	B-3	58	46
95.5000	0.3333	B3	59	75
95.7500	0.2500	A3	57	50
96.2500	0.3333	G3	55	66
96.5000	0.2500	G#3	56	37
102.2500	0.3333	B3	59	35
102.5000	0.5000	B3	59	92
103.0000	0.3333	B3	59	58
103.0000	0.3333	B4	71	58
103.3333	0.6667	B3	59	78
104.0000	0.2500	B3	59	74
104.0000	0.0833	B3	59	78
105.0000	0.2500	A3	57	81
109.7500	0.2500	B3	59	78
110.2500	0.2500	B-3	58	37
110.7500	0.5000	G3	55	48
111.2500	0.2500	G3	55	73
117.0000	0.3333	B-2	46	78
117.3333	0.6667	B-2	46	56
118.6667	0.5000	E3	52	75
119.0000	0.2500	E3	52	56
120.0000	1.0000	E3	52	48
121.0000	0.7500	E3	52	58
121.6667	0.5000	E3	52	74
122.7500	0.3333	G3	55	87
123.6667	0.3333	D3	50	80
124.0000	0.6667	D3	50	80
124.6667	0.6667	D3	50	57
126.0000	0.2500	E3	52	70
127.0000	0.5000	D3	50	61
127.7500	0.2500	E3	52	72
128.0000	0.5000	E3	52	72
128.7500	0.5000	E3	52	81
130.0000	0.5000	G3	55	78
131.0000	0.3333	D3	50	84
131.3333	0.5000	D3	50	82
131.7500	0.2500	D3	50	90
132.0000	0.2500	D3	50	90
132.3333	0.5000	D3	50	100
132.7500	0.3333	D3	50	75
133.0000	0.7500	E3	52	66
133.7500	0.5000	E3	52	70
138.2500	0.5000	A3	57	47
139.0000	0.3333	A3	57	50
139.3333	0.3333	G#3	56	51
140.0000	0.5000	E3	52	71
145.0000	0.3333	E5	76	44
145.2500	0.6667	E4	64	79
145.7500	0.5000	E4	64	74
146.2500	0.3333	E4	64	94
146.6667	0.5000	E4	64	88
147.2500	0.5000	G4	67	81
153.2500	0.3333	E4	64	104
153.5000	0.3333	E4	64	107
153.7500	0.5000	E4	64	82
154.5000	0.3333	G4	67	53
154.5000	0.3333	G5	79	53
155.3333	0.3333	D4	62	73
160.2500	0.5000	E4	64	69
160.6667	0.6667	E4	64	80
161.2500	0.2500	E4	64	75
161.7500	0.2500	G4	67	66
162.7500	0.2500	D4	62	58
167.2500	0.5000	E4	64	63
168.0000	0.7500	E4	64	81
169.0000	0.2500	G4	67	56
169.0000	0.2500	G5	79	56
174.2500	0.5000	E4	64	50
174.6667	0.3333	E4	64	104
175.0000	0.5000	E4	64	107
175.5000	0.5000	E4	64	75
181.5000	0.3333	E4	64	32
181.7500	0.5000	E4	64	73
182.5000	0.7500	E4	64	75
183.3333	0.5000	G4	67	77
189.3333	0.3333	B3	59	88
189.6667	0.3333	B3	59	88
190.0000	0.2500	B3	59	60
190.0000	0.2500	A3	57	60
190.5000	0.7500	A3	57	86
190.5000	0.2500	E5	76	36
191.2500	0.7500	A3	57	62
192.0000	1.5000	A3	57	62
193.7500	0.3333	A3	57	49
195.6667	0.3333	B-3	58	84
196.0000	0.5000	B3	59	97
196.3333	1.0000	B3	59	64
196.3333	0.3333	B4	71	43
232.0000	0.5000	B-2	46	61
232.5000	0.2500	B2	47	76
233.2500	0.2500	B2	47	58
233.2500	0.2500	E-5	75	58
233.5000	0.5000	B-2	46	40
239.5000	0.2500	B2	47	61
240.2500	0.2500	A2	45	64
240.3333	0.3333	G#2	44	32
